run,harness,model,duration_s,api_calls,tokens_in,tokens_out,tokens_cached,cache_ratio,tool_calls,tool_err_pct,tool_avg_ms,cost_usd,commits,files_changed,loc_added,total_files,total_loc,tokens_per_commit,tokens_per_line
claude-code-opus5,claude-code,claude-opus-5,3322,102,221730.0,147838.0,15062878.0,0.9855,31,0.00,0,,0,0,0,20,2891,,5338.1
oh-my-humanize-kimi-k3,omh,kimi-k3,1841,85,89226.0,34379.0,3730176.0,0.9766,84,10.71,147,1.8073,0,0,0,9,1130,,3410.4
oh-my-humanize-qwen38,omh,qwen3.8,11140,385,1359308.0,298744.0,37919440.0,0.9654,402,6.47,200,4.3427,0,0,0,15,2496,,15856.4
oh-my-humanize-qwen-max,omh,openrouter/qwen/qwen3.8-max,13465,169,2682280.0,238505.0,30141440.0,0.9183,197,7.61,604,14.3309,3,14,2051,13,2051,11020741.7,16120.1
oh-my-humanize-ox-alpha,omh,openrouter/stealth/ox-alpha,5895,204,367789.0,121803.0,23338432.0,0.9845,227,10.13,820,0.4081,11,14,2119,15,2202,2166184.0,11244.9
oh-my-humanize-glm-53,omh,openrouter/z-ai/glm-5.3,6901,156,226885.0,160646.0,23455360.0,0.9904,177,3.95,133,7.1229,2,17,2638,18,2721,11921445.5,9038.2
claude-code-sonnet,claude-code,sonnet,5436,138,262680.0,136794.0,23081346.0,0.9887,33,0.00,0,,6,19,2276,18,2276,3913470.0,10316.7
oh-my-humanize-codex,omh,openrouter/openai/gpt-5.5,189,16,53015.0,15055.0,422400.0,0.8885,23,0.00,14,0.9279,0,0,0,1,83,,5909.3
opencode-qwen,opencode,openrouter/qwen/qwen3.8-27b,7234,0,145441.0,139390.0,6856800.0,0.9792,0,0.00,0,1.0001,1,19,1933,12,2016,7141631.0,3694.6
opencode-kimi,opencode,openrouter/moonshotai/kimi-k3,11942,0,330515.0,111177.0,6649792.0,0.9527,0,0.00,0,5.5294,5,12,1209,11,1209,1418296.8,5865.6
aider-qwen,aider,openrouter/qwen/qwen3.8-27b,6264,0,34700.0,149000.0,0.0,0.0000,0,0.00,0,0.4000,2,11,1703,12,1786,91850.0,107.9
aider-kimi,aider,openrouter/moonshotai/kimi-k3,1750,0,102400.0,91012.0,0.0,0.0000,0,0.00,0,1.6700,2,9,1126,10,1209,96706.0,171.8
opencode-opus,opencode,openrouter/anthropic/claude-opus-5,14147,0,1600743.0,422575.0,24450982.0,0.9386,0,0.00,0,36.6583,3,21,4529,20,4529,8824766.7,5845.5
opencode-sonnet,opencode,openrouter/anthropic/claude-sonnet-5,1925,0,460016.0,105152.0,6648448.0,0.9353,0,0.00,0,3.6547,1,16,1949,15,1949,7213616.0,3701.2
opencode-qwen-max,opencode,openrouter/qwen/qwen3.8-max-0902,6681,0,404478.0,186820.0,7949696.0,0.9516,0,0.00,0,4.7083,1,14,2563,15,2646,8540994.0,3332.4
opencode-glm-53,opencode,openrouter/z-ai/glm-5.3,8924,0,1306784.0,271767.0,14945187.0,0.9196,0,0.00,0,4.6555,5,17,2871,16,2871,3304747.6,5755.4
opencode-codex,opencode,openrouter/openai/gpt-5.5,10455,0,426045.0,91540.0,4679168.0,0.9165,0,0.00,0,8.1218,3,8,1137,9,1220,1732251.0,4570.6
aider-sonnet,aider,openrouter/anthropic/claude-sonnet-5,4787,0,145100.0,142946.0,0.0,0.0000,0,0.00,0,1.7300,4,9,1658,10,1741,72011.5,173.7
aider-qwen-max,aider,openrouter/qwen/qwen3.8-max,2703,0,0,0,0,0.0000,0,0.00,0,,2,14,2034,15,2117,0.0,0.0
aider-glm-53,aider,openrouter/z-ai/glm-5.3,2487,0,82600.0,234467.0,0.0,0.0000,0,0.00,0,0.5500,3,10,1466,11,1549,105689.0,216.3
aider-codex,aider,openrouter/openai/gpt-5.5,568,0,136500.0,28833.0,0.0,0.0000,0,0.00,0,1.5500,6,10,1798,11,1881,27555.5,92.0
oh-my-humanize-sonnet,omh,openrouter/anthropic/claude-sonnet-5,6582,204,240679.0,279817.0,25820846.0,0.9908,209,2.87,2385,8.5638,1,16,2258,17,2341,26341342.0,11665.8
oh-my-humanize-opus,omh,openrouter/anthropic/claude-opus-5,6800,116,293160.0,121784.0,10394695.0,0.9726,116,4.31,1109,10.0739,6,16,2933,15,2933,1801606.5,3685.5
oh-my-humanize-fable,omh,openrouter/anthropic/claude-fable-5,20027,110,447839.0,165704.0,8982027.0,0.9525,124,7.26,169,22.7280,3,11,1623,10,1623,3198523.3,5912.2
opencode-fable,opencode,openrouter/anthropic/claude-fable-5,3691,0,293786.0,104449.0,5156804.0,0.9461,0,0.00,0,15.2906,4,16,2034,17,2117,1388759.8,2731.1
aider-fable,aider,openrouter/anthropic/claude-fable-5,3076,0,41200.0,75628.0,0.0,0.0000,0,0.00,0,4.2000,2,10,1506,11,1589,58414.0,77.6
