run,harness,model,provider,billing,start_utc,end_utc,duration_s,tokens_in,tokens_out,tokens_cached,cost_usd,result,notes
claude-code-opus5,claude-code,claude-opus-5,anthropic,flat-monthly,2026-08-26T07:54:37Z,2026-08-26T08:49:59Z,3322,221730,147838,15062878,,
oh-my-humanize-kimi-k3,oh-my-humanize,kimi-k3,openrouter,per-token,2026-08-26T13:57:07Z,2026-08-26T14:27:48Z,1841,89226,34379,3730176,1.8073,
oh-my-humanize-qwen38,oh-my-humanize,qwen3.8,openrouter,per-token,2026-08-26T10:42:35Z,2026-08-26T13:48:15Z,11140,1359308,298744,37919440,4.3427,
oh-my-humanize-qwen-max,oh-my-humanize,openrouter/qwen/qwen3.8-max,openrouter,per-token,2026-08-27T05:02:07Z,2026-08-27T08:46:32Z,13465,2682280,238505,30141440,14.3309,
oh-my-humanize-ox-alpha,omh,openrouter/stealth/ox-alpha,openrouter,per-token,2026-08-26T15:18:08Z,2026-08-26T16:56:23Z,5895,367789,121803,23338432,0.4081,
oh-my-humanize-glm-53,omh,openrouter/z-ai/glm-5.3,openrouter,per-token,2026-08-27T06:52:21Z,2026-08-27T08:47:22Z,6901,226885,160646,23455360,7.1229,,
claude-code-sonnet,claude,sonnet,anthropic,flat-monthly,2026-08-27T09:25:21Z,2026-08-27T10:55:57Z,5436,262680,136794,23081346,,
oh-my-humanize-codex,omh,openrouter/openai/gpt-5.5,openrouter,per-token,2026-08-27T09:25:50Z,2026-08-27T09:28:59Z,189,53015,15055,422400,0.9279,
opencode-qwen,opencode,openrouter/qwen/qwen3.8-27b,openrouter,per-token,2026-08-27T11:43:48Z,2026-08-27T13:44:22Z,7233,145441,139390,6856800,1.0001,
opencode-kimi,opencode,openrouter/moonshotai/kimi-k3,openrouter,per-token,,,,,,,,
aider-qwen,aider,openrouter/qwen/qwen3.8-27b,openrouter,per-token,2026-08-27T13:07:59Z,2026-08-27T14:52:23Z,6264,0,0,0,,
aider-kimi,aider,openrouter/moonshotai/kimi-k3,openrouter,per-token,2026-08-27T09:27:38Z,2026-08-28T09:23:00Z,86122,,,,,,token data lost (history file cleaned); duration from git log
opencode-opus,opencode,openrouter/anthropic/claude-opus-5,openrouter,per-token,2026-08-27T14:11:49Z,2026-08-28T09:05:08Z,67999,847371,265617,12917453,20.7572,
opencode-sonnet,opencode,openrouter/anthropic/claude-sonnet-5,openrouter,per-token,,,,,,,,
opencode-qwen-max,opencode,openrouter/qwen/qwen3.8-max,openrouter,per-token,,,,,,,,
opencode-glm-53,opencode,openrouter/z-ai/glm-5.3,openrouter,per-token,,,,,,,,
opencode-codex,opencode,openrouter/openai/gpt-5.5,openrouter,per-token,,,,,,,,
aider-opus,aider,openrouter/anthropic/claude-opus-5,openrouter,per-token,,,,,,,,
aider-sonnet,aider,openrouter/anthropic/claude-sonnet-5,openrouter,per-token,,,,,,,,
aider-qwen-max,aider,openrouter/qwen/qwen3.8-max,openrouter,per-token,,,,,,,,
aider-glm-53,aider,openrouter/z-ai/glm-5.3,openrouter,per-token,,,,,,,,
aider-codex,aider,openrouter/openai/gpt-5.5,openrouter,per-token,,,,,,,,
oh-my-humanize-sonnet,omh,openrouter/anthropic/claude-sonnet-5,openrouter,per-token,2026-08-27T11:19:50Z,2026-08-27T13:09:32Z,6582,240679,279817,25820846,8.5638,
oh-my-humanize-opus,omh,openrouter/anthropic/claude-opus-5,openrouter,per-token,2026-08-28T09:34:53Z,2026-08-28T11:28:13Z,6800,293160,121784,10394695,10.0739,
oh-my-humanize-fable,omh,openrouter/anthropic/claude-fable-5,openrouter,per-token,,,,,,,,
opencode-fable,opencode,openrouter/anthropic/claude-fable-5,openrouter,per-token,2026-08-27T14:15:24Z,2026-08-27T15:16:55Z,3691,293786,104449,5156804,15.2906,
aider-fable,aider,openrouter/anthropic/claude-fable-5,openrouter,per-token,,,,,,,,
